2025-04-07-0001,2025-04-07T19:52,54;Burger,3,33,Fanta,2,6,Hot Dog,5,15,
2025-04-07-0002,2025-04-07T19:52,6;Coke,2,6,
2025-04-07-0003,2025-04-07T20:54,55;Burger,5,55,
2025-04-08-0001,2025-04-08T15:21,53;Burger,3,33,Popcorn,5,20,
2025-04-08-0002,2025-04-08T17:21,26;Hot Dog,2,6,Popcorn,5,20,
2025-04-08-0003,2025-04-08T17:51,33;Burger,3,33,
2025-04-08-0004,2025-04-08T17:52,33;Burger,3,33,
2025-04-08-0005,2025-04-08T18:36,33;Burger,3,33,
2025-04-09-0001,2025-04-09T12:05,25;Burger,2,22,Pepsi,1,3,
2025-04-10-0001,2025-04-10T10:57,22;Burger,2,22,
2025-04-11-0001,2025-04-11T16:14,33;Burger,3,33,
