2025-04-22-0001,2025-04-22T14:12,25;Burger,1,11,Sandwich,2,14
2025-04-22-0002,2025-04-22T14:13,25;Burger,2,22,Coke,1,3
2025-04-23-0001,2025-04-22T14:12,11;Burger,1,11,
2025-04-24-0001,2025-04-22T14:12,11;Burger,1,11,
2025-04-24-0002,2025-04-22T14:13,11;Burger,1,11,
2025-05-04-0001,2025-05-04T17:54,9;Hot Dog,1,3,Pepsi,2,6,
2025-05-04-0002,2025-05-04T17:56,14;Coke,2,6,Candy,2,8,
2025-05-04-0003,2025-05-04T17:59,4;Popcorn,1,4,
2025-05-04-0004,2025-05-04T18:02,20;Pizza,2,20,
2025-05-04-0005,2025-05-04T18:04,0;Coke,0,0,
2025-05-04-0006,2025-05-04T18:07,3;Pepsi,1,3,
2025-05-04-0007,2025-05-04T18:10,8;Popcorn,2,8,
2025-05-04-0008,2025-05-04T18:12,8;Burger,0,0,Popcorn,2,8,
2025-05-04-0009,2025-05-04T18:13,6;Coke,2,6,
2025-05-05-0001,2025-05-05T11:44,4;Candy,1,4,
2025-05-06-0001,2025-05-06T13:40,6;Fanta,2,6,
